Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format
CABLE Input,Device,Render,VB-Audio Virtual Cable,,,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.0.00000000}.{6581ac53-560a-47a6-876a-7eb87fec1d3b},VB-Audio Virtual Cable\Device\CABLE Input\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{6581ac53-560a-47a6-876a-7eb87fec1d3b},0x3 0x0 0x0,"2 Channel, 24 bit, 48000 Hz"
CABLE Output,Device,Capture,VB-Audio Virtual Cable,Capture,Capture,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.1.00000000}.{fa162868-ee6e-482a-8be0-ab6e559a6305},VB-Audio Virtual Cable\Device\CABLE Output\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{fa162868-ee6e-482a-8be0-ab6e559a6305},,"2 Channel, 24 bit, 44100 Hz"
Headset Microphone,Device,Capture,Beats Pill,,,Capture,Active,No,0.00 dB,100.0%,-63.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{0.0.1.00000000}.{9977d10f-7978-4f47-814a-c8cd14418d9e},Beats Pill\Device\Headset Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{9977d10f-7978-4f47-814a-c8cd14418d9e},,"1 Channel, 16 bit, 16000 Hz"
Line Volume,Subunit,Capture,VB-Audio Virtual Cable,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio Virtual Cable\Subunit\Line Volume,,,,,,
Microsoft® Windows® Operating System,Application,Capture,Beats Pill,,,,Active,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{9977d10f-7978-4f47-814a-c8cd14418d9e}|\Device\HarddiskVolume3\Windows\System32\svchost.exe%b{00000000-0000-0000-0000-000000000000}|0%b3868,Beats Pill\Application\Microsoft® Windows® Operating System,C:\Windows\System32\svchost.exe,3868,,,,
Microsoft® Windows® Operating System,Application,Capture,VB-Audio Virtual Cable,,,,Active,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{fa162868-ee6e-482a-8be0-ab6e559a6305}|\Device\HarddiskVolume3\Windows\ImmersiveControlPanel\SystemSettings.exe%b{00000000-0000-0000-0000-000000000000}|1%b4232,VB-Audio Virtual Cable\Application\Microsoft® Windows® Operating System,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,4232,,,,
Microsoft® Windows® Operating System,Application,Render,Beats Pill,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{66dc3dfb-cc4a-4d9c-92c0-a203acd9a001}|\Device\HarddiskVolume3\Windows\System32\svchost.exe%b{9977D10F-7978-4F47-814A-C8CD14418D9E}|0%b3868,Beats Pill\Application\Microsoft® Windows® Operating System,C:\Windows\System32\svchost.exe,3868,,,,
Speakers,Subunit,Render,VB-Audio Virtual Cable,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,VB-Audio Virtual Cable\Subunit\Speakers,,,,,,
Speakers,Device,Render,Beats Pill,Render,Render,Render,Active,No,-11.32 dB,46.7%,-63.50 dB,0.00 dB,0.50 dB,1,-11.32 dB,46.7%,{0.0.0.00000000}.{66dc3dfb-cc4a-4d9c-92c0-a203acd9a001},Beats Pill\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{66dc3dfb-cc4a-4d9c-92c0-a203acd9a001},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{44c310fe-6e93-4523-baf6-1fcc9a2aaffe}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,Beats Solo Buds,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{64d69a26-5735-43ad-9753-1860587982d7}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Beats Solo Buds\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Virtual Cable,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{6581ac53-560a-47a6-876a-7eb87fec1d3b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Virtual Cable\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Beats Pill,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{9977d10f-7978-4f47-814a-c8cd14418d9e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Beats Pill\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{cdd70e0f-efab-4714-8b2b-a420df836487}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Virtual Cable,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{fa162868-ee6e-482a-8be0-ab6e559a6305}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Virtual Cable\Application\System Sounds,,,,,,
System Sounds,Application,Render,Beats Pill,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{66dc3dfb-cc4a-4d9c-92c0-a203acd9a001}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Beats Pill\Application\System Sounds,,,,,,
System Sounds,Application,Render,SRS-XG500,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{e3339262-d5b1-4f5b-a2ad-ca8d8854ac0f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,SRS-XG500\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{539029e0-eea2-4b8f-b08f-f90c717883c5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{53c24068-8df0-4f73-b8aa-e64f445d7996}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
Volume,Subunit,Capture,Beats Pill,,,,,No,,100.0%,-63.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{2}.\\?\bthhfenum#bthhfpaudio#9&230db997&0&97#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\wave/00020003,Beats Pill\Subunit\Volume,,,,,,
Volume,Subunit,Render,Beats Pill,,,,,No,,54.2%,-63.50 dB,0.00 dB,0.50 dB,2,"-5.32 dB, -5.32 dB","54.2%, 54.2%",{2}.\\?\bthenum#{0000110b-0000-1000-8000-00805f9b34fb}_vid&0001004c_pid&201a#8&21d49fb3&0&2c81bf156495_c00000000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\src/00020001,Beats Pill\Subunit\Volume,,,,,,
